"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 21 17:42:18 MSK 2021","Sun Mar 21 17:42:29 MSK 2021","11696","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Sun Mar 21 17:40:09 MSK 2021","Sun Mar 21 17:40:12 MSK 2021","3649","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sun Mar 21 17:42:03 MSK 2021","Sun Mar 21 17:42:06 MSK 2021","3211","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Sun Mar 21 17:41:26 MSK 2021","Sun Mar 21 17:41:29 MSK 2021","3205","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Mar 21 17:39:48 MSK 2021","Sun Mar 21 17:39:52 MSK 2021","4483","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"skipped","Sun Mar 21 17:40:28 MSK 2021","Sun Mar 21 17:40:32 MSK 2021","3470","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sun Mar 21 17:39:18 MSK 2021","Sun Mar 21 17:39:22 MSK 2021","3619","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sun Mar 21 17:40:19 MSK 2021","Sun Mar 21 17:40:22 MSK 2021","3387","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"skipped","Sun Mar 21 17:40:55 MSK 2021","Sun Mar 21 17:40:59 MSK 2021","3870","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Mar 21 17:41:05 MSK 2021","Sun Mar 21 17:41:20 MSK 2021","14943","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sun Mar 21 17:39:29 MSK 2021","Sun Mar 21 17:39:32 MSK 2021","3462","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sun Mar 21 17:37:54 MSK 2021","Sun Mar 21 17:37:57 MSK 2021","2961","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sun Mar 21 17:40:38 MSK 2021","Sun Mar 21 17:40:41 MSK 2021","3376","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sun Mar 21 17:39:59 MSK 2021","Sun Mar 21 17:40:02 MSK 2021","3624","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sun Mar 21 17:41:36 MSK 2021","Sun Mar 21 17:41:40 MSK 2021","4479","","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sun Mar 21 17:38:03 MSK 2021","Sun Mar 21 17:38:06 MSK 2021","2786","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Sun Mar 21 17:38:12 MSK 2021","Sun Mar 21 17:38:26 MSK 2021","13582","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Mar 21 17:38:32 MSK 2021","Sun Mar 21 17:38:45 MSK 2021","13382","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sun Mar 21 17:41:46 MSK 2021","Sun Mar 21 17:41:49 MSK 2021","2690","","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sun Mar 21 17:39:38 MSK 2021","Sun Mar 21 17:39:42 MSK 2021","3397","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sun Mar 21 17:40:47 MSK 2021","Sun Mar 21 17:40:51 MSK 2021","3332","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
